,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
145,zone_bc_16,zone_bc_37,720.0,312.0,0.0,1032.0
146,zone_bc_16,zone_bc_39,1076.0,202.0,133.0,1411.0
147,zone_bc_16,zone_bc_54,224.0,0.0,0.0,224.0
148,zone_bc_16,zone_bc_59,586.0,408.0,0.0,994.0
149,zone_bc_16,zone_bc_61,211.0,113.0,0.0,324.0
150,zone_bc_17,zone_bc_13,455.0,0.0,0.0,455.0
151,zone_bc_17,zone_bc_16,640.0,193.0,255.0,1088.0
152,zone_bc_17,zone_bc_23,228.0,0.0,78.0,306.0
153,zone_bc_19,zone_bc_1,265.0,47.0,0.0,312.0
154,zone_bc_19,zone_bc_6,66.0,0.0,0.0,66.0
155,zone_bc_19,zone_bc_11,435.0,66.0,0.0,501.0
156,zone_bc_19,zone_bc_13,3330.0,689.0,0.0,4019.0
157,zone_bc_19,zone_bc_14,228.0,0.0,0.0,228.0
158,zone_bc_19,zone_bc_16,312.0,228.0,0.0,540.0
159,zone_bc_19,zone_bc_20,310.0,0.0,0.0,310.0
160,zone_bc_19,zone_bc_23,94.0,0.0,0.0,94.0
161,zone_bc_19,zone_bc_24,1075.0,238.0,248.0,1561.0
162,zone_bc_19,zone_bc_33,88.0,0.0,0.0,88.0
163,zone_bc_19,zone_bc_37,213.0,0.0,0.0,213.0
164,zone_bc_19,zone_bc_52,169.0,0.0,0.0,169.0
165,zone_bc_20,zone_bc_9,1393.0,270.0,0.0,1663.0
166,zone_bc_20,zone_bc_11,1057.0,0.0,0.0,1057.0
167,zone_bc_20,zone_bc_13,322.0,0.0,939.0,1261.0
168,zone_bc_20,zone_bc_14,49.0,0.0,0.0,49.0
169,zone_bc_20,zone_bc_15,248.0,0.0,0.0,248.0
170,zone_bc_20,zone_bc_16,3858.0,454.0,90.0,4402.0
171,zone_bc_20,zone_bc_19,94.0,0.0,0.0,94.0
172,zone_bc_20,zone_bc_20,772.0,259.0,0.0,1031.0
173,zone_bc_20,zone_bc_23,8231.0,937.0,163.0,9331.0
174,zone_bc_20,zone_bc_24,1222.0,78.0,0.0,1300.0
175,zone_bc_20,zone_bc_33,501.0,207.0,0.0,708.0
176,zone_bc_20,zone_bc_39,1502.0,355.0,0.0,1857.0
177,zone_bc_21,zone_bc_8,1221.0,0.0,0.0,1221.0
178,zone_bc_21,zone_bc_13,1416.0,242.0,472.0,2130.0
179,zone_bc_21,zone_bc_16,309.0,88.0,602.0,999.0
180,zone_bc_21,zone_bc_19,829.0,0.0,0.0,829.0
181,zone_bc_21,zone_bc_23,1589.0,0.0,0.0,1589.0
182,zone_bc_21,zone_bc_24,1738.0,0.0,0.0,1738.0
183,zone_bc_21,zone_bc_33,106.0,0.0,0.0,106.0
184,zone_bc_21,zone_bc_37,1221.0,0.0,0.0,1221.0
185,zone_bc_23,zone_bc_1,2166.0,3491.0,0.0,5657.0
186,zone_bc_23,zone_bc_5,198.0,0.0,0.0,198.0
187,zone_bc_23,zone_bc_9,1841.0,1638.0,0.0,3479.0
188,zone_bc_23,zone_bc_11,781.0,1195.0,53.0,2029.0
189,zone_bc_23,zone_bc_13,7725.0,1324.0,1194.0,10243.0
190,zone_bc_23,zone_bc_14,2654.0,0.0,242.0,2896.0
191,zone_bc_23,zone_bc_16,5120.0,1696.0,88.0,6904.0
192,zone_bc_23,zone_bc_19,580.0,0.0,0.0,580.0
193,zone_bc_23,zone_bc_20,9975.0,884.0,270.0,11129.0
194,zone_bc_23,zone_bc_23,5355.0,254.0,12357.0,17966.0
195,zone_bc_23,zone_bc_24,1081.0,480.0,0.0,1561.0
196,zone_bc_23,zone_bc_31,106.0,1056.0,0.0,1162.0
197,zone_bc_23,zone_bc_32,226.0,0.0,0.0,226.0
198,zone_bc_23,zone_bc_33,262.0,0.0,0.0,262.0
199,zone_bc_23,zone_bc_34,1076.0,0.0,0.0,1076.0
200,zone_bc_23,zone_bc_37,135.0,392.0,0.0,527.0
201,zone_bc_23,zone_bc_39,1812.0,344.0,0.0,2156.0
202,zone_bc_23,zone_bc_41,113.0,0.0,0.0,113.0
203,zone_bc_23,zone_bc_49,181.0,279.0,0.0,460.0
204,zone_bc_23,zone_bc_54,147.0,0.0,0.0,147.0
205,zone_bc_24,zone_bc_1,1473.0,1601.0,283.0,3357.0
206,zone_bc_24,zone_bc_3,147.0,0.0,0.0,147.0
207,zone_bc_24,zone_bc_5,37.0,0.0,0.0,37.0
208,zone_bc_24,zone_bc_6,444.0,0.0,0.0,444.0
209,zone_bc_24,zone_bc_8,213.0,114.0,0.0,327.0
210,zone_bc_24,zone_bc_9,1281.0,217.0,105.0,1603.0
211,zone_bc_24,zone_bc_11,4690.0,488.0,415.0,5593.0
212,zone_bc_24,zone_bc_13,13910.0,2563.0,1915.0,18388.0
213,zone_bc_24,zone_bc_14,1879.0,0.0,493.0,2372.0
