origin,destination,volume_car,volume_bus,volume_walk
zone_10,zone_40,1986.1998099782215,0.0,0.0
zone_10,zone_43,0.11785557429116725,280.6428762442536,0.0
zone_10,zone_44,0.14471809375652278,452.43638100465364,0.0
zone_10,zone_46,0.08932763345341448,234.5479227835683,0.0
zone_10,zone_47,0.17031501806360416,115.40073912572639,0.0
zone_10,zone_49,0.1870519001272678,51.400912632038924,0.0
zone_10,zone_5,677.9745380163067,0.0,0.0
zone_10,zone_52,203.08275256548285,0.0,0.0
zone_10,zone_55,0.12469139454424064,2174.6969940123445,0.0
zone_10,zone_6,0.03631006271697521,318.9528288973685,0.0
zone_10,zone_7,667.4932616673889,0.0,0.0
zone_10,zone_9,0.18271400046500927,104.36861029330318,0.0
zone_11,zone_1,0.012853955787883143,47.440270079310075,0.0
zone_11,zone_11,0.044840066997474705,0.0,987.6682019567181
zone_11,zone_13,1811.0187578851746,0.0,0.0
zone_11,zone_15,17192.89481770044,0.0,0.0
zone_11,zone_17,36.89168564658376,0.0,0.0
zone_11,zone_28,47.18783625924219,0.0,0.0
zone_11,zone_29,0.2666217162283069,719.5076855616413,0.0
zone_11,zone_31,2.1293283846236384,0.0,20095.171529493007
zone_11,zone_43,0.016196735430315738,42.870800522057905,0.0
zone_11,zone_49,0.05858479095249677,94.3269623011398,0.0
zone_11,zone_51,0.0904572900532312,646.7339432894703,0.0
zone_11,zone_7,3835.60865250857,0.0,0.0
zone_11,zone_9,0.0901058049843577,287.1733680515991,0.0
zone_12,zone_0,0.1462661516252708,98.73882878749615,0.0
zone_12,zone_1,0.028252533304898082,103.79056682912228,0.0
zone_12,zone_10,0.08952498755930971,890.5090123437058,0.0
zone_12,zone_12,1.7340769525028885e-257,0.0,6542.707545168122
zone_12,zone_13,339.3067195218763,0.0,0.0
zone_12,zone_15,0.14074731140816513,205.77412812225148,0.0
zone_12,zone_17,10.160552594259297,0.0,0.0
zone_12,zone_22,0.09017868061186345,480.00600035165655,0.0
zone_12,zone_24,0.0102637806753492,56.45567924168648,0.0
zone_12,zone_28,15.17428157006693,0.0,0.0
zone_12,zone_3,0.019545023099427253,53.69980205383547,0.0
zone_12,zone_33,0.00990700056440846,107.38655907918289,0.0
zone_12,zone_35,0.3823335679533142,1593.7762049315793,0.0
zone_12,zone_37,0.06097945028284011,211.44282073651829,0.0
zone_12,zone_39,516.9892112640704,0.0,0.0
zone_12,zone_40,0.040377734875436125,89.19787074930126,0.0
zone_12,zone_41,0.08130147327489075,46.949619338070846,0.0
zone_12,zone_43,0.01421298202516138,46.763610065262725,0.0
zone_12,zone_44,0.11177186490150848,316.37809681727055,0.0
zone_12,zone_47,0.0761686322973449,230.90194409942248,0.0
zone_12,zone_49,0.04603606500541504,51.5445208653648,0.0
zone_12,zone_5,2345.039459849905,0.0,0.0
zone_12,zone_52,0.05842052791312342,0.0,505.456128510492
zone_13,zone_0,1.4131186261947395,6176.143858806315,0.0
zone_13,zone_1,0.060364192267791134,19431.042292356287,0.0
zone_13,zone_10,3.496087743781476e-259,9.965514528579277,0.0
zone_13,zone_12,0.03855140853828438,56.04128723162543,0.0
zone_13,zone_13,0.23315003656700814,0.0,5135.47130550114
zone_13,zone_15,0.06456625238938775,103.86112618443897,0.0
zone_13,zone_17,0.43415358934359327,680.2308052875479,0.0
zone_13,zone_19,0.6383194150391654,638.8686900248928,0.0
zone_13,zone_2,5096.8293549909595,0.0,0.0
zone_13,zone_21,0.16584709699441694,676.1572054427818,0.0
zone_13,zone_22,0.07818870802301062,119.9422092988748,0.0
zone_13,zone_28,506.44749619409026,0.0,0.0
zone_13,zone_3,0.020714659083578658,59.268946961855676,0.0
zone_13,zone_30,0.021066082499353263,52.27044993648407,0.0
zone_13,zone_32,4704.300838238482,0.0,0.0
zone_13,zone_33,3.589738675299464e-259,10.549396945845107,0.0
zone_13,zone_35,1.939352178959056e-259,9.828839310598704,0.0
zone_13,zone_37,0.17127248554909297,533.4959252964128,0.0
zone_13,zone_39,0.14393698896016044,48.16203769732754,0.0
zone_13,zone_41,0.08623873122447974,380.53511356402447,0.0
zone_13,zone_42,0.06343170038259843,307.15914671048944,0.0
zone_13,zone_43,0.04335837297902334,167.42339823644113,0.0
zone_13,zone_44,0.028265265355120417,45.62768113526159,0.0
zone_13,zone_45,0.10931115899529087,3333.1818672367776,0.0
zone_13,zone_46,5.305208291724493e-259,14.268113599503845,0.0
zone_13,zone_47,0.021976950291976594,58.292926489055475,0.0
zone_13,zone_48,0.184171938591467,1117.8388459372131,0.0
zone_13,zone_49,0.02925441199425001,103.85454145749597,0.0
zone_13,zone_50,0.04144470362514262,164.59489608505606,0.0
zone_13,zone_52,0.019205546835842396,50.836001049167514,0.0
zone_13,zone_54,0.07997914995171965,99.28215810972358,0.0
zone_13,zone_6,2.4112277360007824e-259,10.03249013205752,0.0
zone_13,zone_7,1.5923327288469562,12560.079702805608,0.0
zone_13,zone_8,8719.135958464414,0.0,0.0
zone_15,zone_0,2782.3184668402764,0.0,0.0
zone_15,zone_10,0.021257006960281356,47.87642692698949,0.0
zone_15,zone_12,0.20244013520088222,396.31928492242224,0.0
zone_15,zone_13,249.7222717337742,0.0,0.0
zone_15,zone_15,0.1672261190251162,0.0,3683.4003907049982
zone_15,zone_17,62.918157125016805,0.0,0.0
zone_15,zone_21,48.83782819589543,0.0,0.0
zone_15,zone_22,0.03680032989978866,121.6989038184573,0.0
zone_15,zone_35,0.7271280133445162,2786.2597777116366,0.0
zone_15,zone_37,0.05259318912526369,162.25742270153543,0.0
zone_15,zone_39,4757.057843357921,0.0,0.0
zone_15,zone_4,10362.658843267067,0.0,0.0
zone_15,zone_41,916.1526980791185,0.0,0.0
zone_15,zone_44,0.04929736887444485,138.55464945552575,0.0
zone_15,zone_45,48.60862929549676,0.0,0.0
zone_15,zone_47,1829.4705112233307,0.0,0.0
zone_15,zone_5,0.9977543094585395,1703.8848646907347,0.0
zone_15,zone_52,0.029520316084741725,103.68318510875743,0.0
zone_15,zone_56,0.030565072678575854,55.52138341550966,0.0
zone_15,zone_6,0.01852956521824186,54.221720326191836,0.0
zone_15,zone_7,51.51331717349149,0.0,0.0
zone_16,zone_1,0.01623820890332452,96.3641080410244,0.0
zone_16,zone_16,1.451789659222351e-259,0.0,54.7763185692609
zone_16,zone_17,239.5438314088728,0.0,0.0
zone_16,zone_20,7.867543801832409e-260,9.730763967599282,0.0
zone_16,zone_25,0.003632138614724661,53.31998781958538,0.0
zone_16,zone_3,0.0035199985228728014,25.80889840420216,24.244215675598337
zone_16,zone_30,0.0022241760332812523,48.52975866994301,37.15028249710625
zone_16,zone_32,14.419006951024624,0.0,0.0
zone_16,zone_36,2.64482178153896e-259,34.518267104371155,0.0
zone_16,zone_43,0.009073390355154783,184.46232958988082,105.71172400206895
zone_16,zone_44,5.961195166624687e-264,0.001,0.0
zone_16,zone_46,0.010301367038621745,93.3848109971234,0.0
zone_16,zone_49,0.03423861847516969,96.60358882873777,0.0
zone_16,zone_53,0.0020599527651103374,66.72444263907788,44.25657617519727
zone_16,zone_54,0.018309382847400475,153.70408604717858,0.0
zone_16,zone_56,0.008056044626275816,0.0,106.77334447740684
zone_16,zone_57,0.003170601077202963,0.0,703.252236297561
zone_16,zone_6,7.128491111761143e-260,9.755073142078219,0.0
zone_16,zone_9,0.0352074556769875,195.96182135360587,0.0
zone_17,zone_13,806.1721952203272,0.0,0.0
zone_17,zone_17,0.5451107645757314,0.0,12006.863610308284
zone_17,zone_19,5722.526722695709,0.0,0.0
zone_17,zone_21,49.3286402489771,0.0,0.0
zone_17,zone_26,7416.142902587812,0.0,0.0
zone_17,zone_29,0.060389004059634696,53.90840848222361,0.0
zone_17,zone_32,262.3975817780048,0.0,0.0
zone_17,zone_39,98.84392127546108,0.0,0.0
zone_17,zone_40,11689.438347412191,0.0,0.0
zone_17,zone_48,0.04300909319742137,53.12871265030217,0.0
zone_17,zone_7,51.76294847886595,0.0,0.0
zone_19,zone_0,982.5813424983694,0.0,0.0
zone_19,zone_1,0.15025811668780184,270.6281246486784,0.0
zone_19,zone_13,357.9792865075176,0.0,0.0
zone_19,zone_17,5388.307424554243,0.0,0.0
zone_19,zone_19,0.5504988451580454,0.0,41778.42796199833
zone_19,zone_21,5202.978663028999,0.0,0.0
zone_19,zone_23,0.012129052481377566,37.954547786404184,0.0
zone_19,zone_26,9.870844298268299,0.0,0.0
zone_19,zone_3,0.02096548852151399,56.23834505869289,0.0
zone_19,zone_32,215.0025800041168,0.0,0.0
zone_19,zone_37,165.70207335396557,0.0,0.0
zone_19,zone_39,2207.55042771306,0.0,0.0
zone_19,zone_4,864.9356199345867,0.0,0.0
zone_19,zone_40,39.49946613136144,0.0,0.0
zone_19,zone_42,0.03944299688207811,136.4223781100618,0.0
zone_19,zone_43,0.016571841434376112,48.77749289561723,0.0
zone_19,zone_44,0.05727823547338534,94.27130804461054,0.0
zone_19,zone_45,496.46067422929644,0.0,0.0
zone_19,zone_48,431.50477062032246,0.0,0.0
zone_19,zone_49,0.01477944347110563,53.84963481882927,0.0
zone_19,zone_50,512.1706456316497,0.0,0.0
zone_19,zone_7,52.533043060272476,0.0,0.0
zone_2,zone_12,137.53445556897708,0.0,0.0
zone_2,zone_2,0.04200670513361277,0.0,925.2592537780536
zone_2,zone_20,193.4727658138681,0.0,0.0
zone_2,zone_26,158.7878788529294,0.0,0.0
zone_2,zone_3,9.739280815317912,0.0,0.0
zone_2,zone_31,9.524933029297003,0.0,0.0
zone_2,zone_33,82.37176172564543,0.0,0.0
zone_2,zone_40,70.83434893823835,0.0,0.0
zone_2,zone_46,110.35214229840527,0.0,0.0
zone_2,zone_51,14.48668209655379,0.0,0.0
zone_2,zone_54,148.95826256340294,0.0,0.0
zone_2,zone_9,613.226727814178,0.0,0.0
zone_20,zone_1,0.0162218504572572,51.02620795932894,0.0
zone_20,zone_10,0.055271301963651605,46.010597779570354,0.0
zone_20,zone_13,419.5038452250405,0.0,0.0
zone_20,zone_17,4.9808940874887035,0.0,0.0
zone_20,zone_20,0.01769049826833651,0.0,13415.955662176355
zone_20,zone_28,14.839744058089874,0.0,0.0
zone_20,zone_3,0.0334489664873978,105.51405625237258,0.0
zone_20,zone_30,0.08620826927663959,254.10042956867505,0.0
zone_20,zone_31,0.11595496613390567,53.126955215416984,0.0
zone_20,zone_36,0.16743110925576626,1118.9481267867993,0.0
zone_20,zone_37,0.050535616051328905,51.96048381268889,0.0
zone_20,zone_38,0.025786127180602022,96.99630178024664,0.0
zone_20,zone_39,468.9982951461001,0.0,0.0
zone_20,zone_42,0.035138705977117934,42.72342989687226,0.0
zone_20,zone_43,0.010222451423635993,45.98632738816935,0.0
zone_20,zone_44,0.033640772674014593,88.79834027139553,0.0
zone_20,zone_46,0.08889995241003117,1018.0797477848556,0.0
zone_20,zone_49,0.033910062928086945,50.6949924065449,0.0
zone_20,zone_51,0.15438589930302496,323.3115693377789,0.0
zone_20,zone_53,0.13555054488612198,421.16800426462675,0.0
zone_20,zone_54,0.17856816276547097,0.0,2827.226957379786
zone_20,zone_55,0.019231176636853576,102.20574091466622,0.0
zone_20,zone_56,0.016756614715849428,53.362777956229586,0.0
zone_20,zone_57,0.006973941470623352,51.24106645188657,0.0
zone_20,zone_6,0.01893810457480321,104.21932438700496,0.0
zone_20,zone_7,986.7111387167655,0.0,0.0
zone_20,zone_9,1.1316802943560191,0.0,8158.840376421835
zone_21,zone_0,1146.307544267058,0.0,0.0
zone_21,zone_1,0.14150925963781769,763.5712777588592,0.0
zone_21,zone_12,0.12650475837577935,116.45312797468772,0.0
zone_21,zone_13,515.1701087424265,0.0,0.0
zone_21,zone_17,50.75542618913307,0.0,0.0
zone_21,zone_19,5491.534229031487,0.0,0.0
zone_21,zone_21,2.9449177209780344e-257,0.0,11111.234345818457
zone_21,zone_29,0.01469803338834879,55.09677129254718,0.0
zone_21,zone_3,0.03314368402490803,113.00761002989071,0.0
zone_21,zone_30,0.023835722771890545,54.527718820805944,0.0
zone_21,zone_37,0.1354740298457455,389.59310277926755,0.0
zone_21,zone_42,0.030059755233529738,137.2266190912842,0.0
